,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Rok produkcji,Przebieg,Pojemność skokowa,Moc,Rodzaj napędu,Typ Silnika,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Kolor,Możliwość finansowania,Faktura VAT,Leasing,Gwarancja dealerska (w cenie),Kraj pochodzenia,Bezwypadkowy,Stan,Numer rejestracyjny pojazdu,Pierwszy właściciel,Rodzaj koloru,Serwisowany w ASO,Zarejestrowany w Polsce,Pierwsza rejestracja,Tuning,Uszkodzony,VAT marża,Okres gwarancji producenta,VIN,lub do (przebieg km)
334,Osoby prywatnej,Motocykle,Kawasaki,Versys 650,2010,47 627 km,649 cm3,64 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Żółty,,,,,Francja,Tak,Używane,,,Perłowy,,Tak,17/08/2010,,,,,,
335,Firmy,Motocykle,Indian,Chieftain,2015,53 552 km,1 811 cm3,,,,Benzyna,Manualna,Cruiser,Niebieski,,Tak,,,Stany Zjednoczone,,Używane,,,,,,,,,,,,
336,Firmy,Motocykle,Indian,Chieftain,2015,61 104 km,1 811 cm3,,,,Benzyna,,Turystyczny,Bordowy,,Tak,,,Stany Zjednoczone,,Używane,,,Metalik,,,,,,,,,
337,Firmy,Motocykle,Kawasaki,VN,2014,51 863 km,,,,,Benzyna,,Cruiser,Inny kolor,,Tak,,,,,Używane,,,,,,,,,,,,
338,Osoby prywatnej,Motocykle,Honda,CB,2020,6 705 km,125 cm3,13 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,,Polska,Tak,Używane,,Tak,Matowy,Tak,Tak,25/05/2020,,,,,,
339,Firmy,Motocykle,Barton,Inny,2021,1 km,124 cm3,8 KM,Łańcuch,Czterosuwowy,Benzyna,Półautomatyczna,Krosowy,Czerwony,,Tak,,,,Tak,Nowe,,,,,,,,,,,,
340,Firmy,Motocykle,Suzuki,Inny,2006,12 345 km,,,,,Benzyna,,Cruiser,Szary,,Tak,,,,,Używane,,,Metalik,,,,,,,,,
341,Firmy,Motocykle,Suzuki,Inny,2005,22 km,,,,,Benzyna,,Cruiser,Fioletowy,,Tak,,,,,Używane,,,Metalik,,,,,,,,,
342,Firmy,Motocykle,Suzuki,VZ,2013,12 345 km,,,,,Benzyna,,Cruiser,Szary,,Tak,,,,,Używane,,,,,,,,,,,,
343,Firmy,Motocykle,Victory,Inny,2015,3 800 km,,,,,Benzyna,,Cruiser,Czarny,,Tak,,,,,Używane,,,,,,,,,,,,
344,Osoby prywatnej,Motocykle,Kawasaki,Ninja,2020,1 500 km,649 cm3,80 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Czarny,,,,,Polska,,Używane,NIL4P85,Tak,Metalik,Tak,Tak,20/04/2021,,,,20/04/2024,,
345,Osoby prywatnej,Motocykle,Harley-Davidson,Inny,2019,24 000 km,1 746 cm3,,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,,,,,,,Używane,,,,,Tak,,,,,,,
346,Firmy,Motocykle,Barton,Inny,2021,1 km,50 cm3,3 KM,Łańcuch,Czterosuwowy,Benzyna,Automatyczna,Skuter,Czarny,Tak,Tak,Tak,,,Tak,Nowe,,,,,,,,,,,,
347,Osoby prywatnej,Motocykle,Yamaha,XJ,1991,50 000 km,900 cm3,90 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czarny,,,,,,,Używane,,,Metalik,,,12/12/1991,,,,,,50 000 km
348,Firmy,Motocykle,Romet,747,2022,1 km,49 cm3,3 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Inny kolor,Tak,Tak,,,Inny,Tak,Nowe,,,,,,,,,,,,
349,Osoby prywatnej,Motocykle,Malaguti,RST 125,2019,814 km,125 cm3,16 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Biały,,Tak,,,Polska,Tak,Używane,TKA01UT,Tak,Metalik,Tak,Tak,04/06/2021,,,,02/06/2023,,
350,Osoby prywatnej,Motocykle,Polaris,Scrambler,2015,1 485 km,1 000 cm3,89 KM,Wał kardana,Czterosuwowy,Benzyna,,Quad,Biały,,,,,,Tak,Używane,,,,,Tak,,,,Tak,,,
351,Osoby prywatnej,Motocykle,BMW,S,2018,16 500 km,,,Łańcuch,,Benzyna,,Sportowy,Inny kolor,,,,,,,Używane,,,,,Tak,,,,,,,
352,Osoby prywatnej,Motocykle,BMW,GS,2019,9 999 km,1 250 cm3,136 KM,Wał kardana,,Benzyna,,Turystyczny,Czarny,,,,,Niemcy,,Używane,,Tak,,Tak,,,,,,,,
353,Firmy,Motocykle,Aprilia,SX,2021,947 km,124 cm3,15 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Enduro,Czarny,Tak,Tak,Tak,3 miesięcy,Szwajcaria,Tak,Używane,,Tak,,,,22/10/2021,,,,,,
354,Firmy,Motocykle,Moto Guzzi,Inny,2021,1 km,853 cm3,76 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Żółty,,Tak,,24 miesięcy,,Tak,Nowe,,,,,,,,,,,,
355,Firmy,Motocykle,Honda,ST,2006,77 300 km,1 300 cm3,126 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Niebieski,Tak,,,,Belgia,Tak,Używane,,,Metalik,,,10/03/2006,,,Tak,,,
356,Osoby prywatnej,Motocykle,Hyosung,GV,2010,44 000 km,250 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Cruiser,Czarny,,,,,Polska,Tak,Używane,,Tak,,,Tak,,,,,,,
