,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Rok produkcji,Przebieg,Pojemność skokowa,Moc,Rodzaj napędu,Typ Silnika,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Kolor,Możliwość finansowania,Faktura VAT,Leasing,Kraj pochodzenia,Bezwypadkowy,Stan,price,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Rodzaj koloru,Pierwsza rejestracja,Serwisowany w ASO,Pierwszy właściciel,Gwarancja dealerska (w cenie),Tuning,VAT marża,Okres gwarancji producenta,Liczba pozostałych rat,Miesięczna rata,Opłata początkowa,Wartość wykupu,lub do (przebieg km),Uszkodzony,VIN,Zarejestrowany jako zabytek
5267,Osoby prywatnej,Motocykle,Kymco,X-Town,2018,13 000 km,125 cm3,,,Czterosuwowy,Benzyna,Bezstopniowa,Skuter,Biały,,,,,Tak,Używane,11500,,,,,,Tak,,,,,,,,,,,,
5268,Firmy,Motocykle,Piaggio,Liberty,2022,1 km,124 cm3,11 KM,,,Benzyna,Automatyczna,Skuter,Biały,Tak,,Tak,,Tak,Nowe,14200,,,,,,,,,,,,,,,,,,
5269,Firmy,Motocykle,Romet,Inny,2022,1 km,125 cm3,11 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Inny kolor,Tak,Tak,,,Tak,Nowe,7299,,,,,,,24 miesięcy,,,,,,,,6 000 km,,,
5270,Firmy,Motocykle,Romet,Soft Chopper,2022,1 km,125 cm3,11 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Chopper,Inny kolor,Tak,Tak,,,Tak,Nowe,7399,,,,,,,24 miesięcy,,,,,,,,6 000 km,,,
5271,Osoby prywatnej,Motocykle,Piaggio,Beverly,2009,52 000 km,278 cm3,23 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Niebieski,,Tak,,,Tak,Używane,6700,,,Metalik,,,,,,,,,,,,,,,
5272,Firmy,Motocykle,Inny,Inny,2022,1 km,50 cm3,,Łańcuch,Dwusuwowy,Benzyna,Automatyczna,Quad,Inny kolor,Tak,Tak,,,Tak,Nowe,2499,,,,,,,,,,,,,,,,,,
5273,Firmy,Motocykle,Can-Am,Outlander,2021,1 km,1 000 cm3,91 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Quad,Inny kolor,Tak,Tak,Tak,Polska,Tak,Nowe,87100,,,,,,,,,,,,,,,,,,
5274,Firmy,Motocykle,Honda,VTX,2003,27 298 km,1 800 cm3,,Wał kardana,Czterosuwowy,Benzyna,Manualna,Cruiser,Czarny,,,,Stany Zjednoczone,,Używane,31999,,,Metalik,,,,,,,,,,,,,,,
5275,Osoby prywatnej,Motocykle,Honda,CBR,2000,38 000 km,929 cm3,150 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Inny kolor,,,,Niemcy,Tak,Używane,12300,,,,12/05/2000,,,,,,,,,,,,,,
5276,Firmy,Motocykle,Benelli,BN 125,2021,1 km,125 cm3,11 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Biały,,Tak,,,Tak,Nowe,11900,,,Metalik,,,,,,,,,,,,,,,
